Date,Open,High,Low,Close,Adj Close,Volume
2023-10-17,110.199997,112.099998,110.199997,111.250000,111.250000,887955
2023-10-18,111.900002,114.400002,110.349998,110.849998,110.849998,1479833
2023-10-19,110.449997,110.550003,108.199997,108.949997,108.949997,1118506
2023-10-20,108.800003,109.900002,106.000000,106.849998,106.849998,1049621
2023-10-23,107.199997,108.150002,99.500000,101.150002,101.150002,1970138
2023-10-25,101.400002,105.050003,99.500000,101.500000,101.500000,1466007
2023-10-26,100.550003,108.900002,97.449997,105.000000,105.000000,2438926
2023-10-27,105.550003,106.599998,103.000000,103.349998,103.349998,1005303
2023-10-30,103.550003,105.000000,102.099998,104.349998,104.349998,1002521
2023-10-31,104.800003,106.199997,104.000000,105.550003,105.550003,809854
2023-11-01,105.550003,112.199997,105.050003,109.150002,109.150002,3663373
2023-11-02,110.099998,110.599998,107.400002,109.199997,109.199997,1157974
2023-11-03,109.900002,117.150002,109.199997,112.599998,112.599998,6894113
2023-11-06,113.000000,117.550003,112.349998,116.949997,116.949997,4948339
2023-11-07,117.000000,118.500000,113.699997,114.150002,114.150002,2556866
2023-11-08,115.000000,116.900002,114.650002,116.300003,116.300003,1583525
2023-11-09,117.000000,128.649994,113.750000,123.849998,123.849998,19729698
2023-11-10,125.849998,132.199997,125.000000,130.350006,130.350006,14091599
2023-11-13,137.800003,144.899994,136.149994,138.149994,138.149994,9166000
2023-11-15,140.100006,140.899994,132.300003,133.399994,133.399994,5773422
2023-11-16,133.699997,142.199997,131.949997,140.750000,140.750000,7838193
2023-11-17,142.000000,144.500000,139.500000,140.250000,140.250000,3985453
2023-11-20,141.199997,141.699997,135.649994,137.850006,137.850006,2353799
2023-11-21,139.250000,140.350006,136.699997,139.000000,139.000000,2039639
2023-11-22,140.000000,143.000000,137.850006,139.649994,139.649994,2805017
2023-11-23,140.399994,147.899994,139.350006,144.699997,144.699997,7513608
2023-11-24,145.000000,145.649994,141.000000,141.850006,141.850006,2014210
2023-11-28,142.750000,144.100006,141.500000,142.699997,142.699997,1823630
2023-11-29,144.000000,165.000000,141.800003,159.649994,159.649994,17626953
2023-11-30,159.949997,167.500000,156.500000,166.350006,166.350006,11486195
2023-12-01,167.300003,169.350006,164.649994,165.699997,165.699997,3960071
2023-12-04,169.000000,172.000000,167.000000,170.649994,170.649994,4276817
2023-12-05,171.199997,172.000000,163.000000,163.550003,163.550003,3052034
2023-12-06,163.699997,167.199997,163.550003,164.949997,164.949997,1329231
2023-12-07,165.500000,165.500000,157.350006,159.250000,159.250000,1666573
2023-12-08,159.800003,162.399994,157.800003,161.149994,161.149994,944770
